mara1;mara2;half1;half2;ten1;ten2
02:35:25;02:35:51;01:18:48;01:18:50;00:37:48;00:37:50
02:35:25;02:35:51;01:18:50;01:18:53;00:37:49;00:37:51
02:35:34;02:35:49;01:18:50;01:18:56;00:37:49;00:37:51
02:35:34;02:35:49;01:18:53;01:18:57;00:37:54;00:37:56
02:35:36;02:35:54;01:18:56;01:19:03;00:38:02;00:38:04
02:35:57;02:35:57;01:18:58;01:19:01;00:38:03;00:38:05
02:36:00;02:36:11;01:19:02;01:19:13;00:38:04;00:38:06
02:36:00;02:36:11;01:19:16;01:19:22;00:38:08;00:38:10
02:36:03;02:36:25;01:19:16;01:19:31;00:38:11;00:38:13
02:36:22;02:36:44;01:19:18;01:19:25;00:38:12;00:38:14
02:36:26;02:36:48;01:19:31;01:19:33;00:38:14;00:38:16
02:36:40;02:36:46;01:19:38;01:20:10;00:38:25;00:38:27
02:36:44;02:37:49;01:19:46;01:19:52;00:38:26;00:38:28
02:36:44;02:37:49;01:19:52;01:19:55;00:38:30;00:38:32
02:37:01;02:37:16;01:19:55;01:20:09;00:38:33;00:38:35
02:37:01;02:37:23;01:19:59;01:20:01;00:38:36;00:38:38
02:37:15;02:37:31;01:20:00;01:20:05;00:38:40;00:38:42
02:37:22;02:37:33;01:20:06;01:20:09;00:38:40;00:38:42
02:37:25;02:37:55;01:20:07;01:20:09;00:38:40;00:38:42
02:37:25;02:37:55;01:20:07;01:20:11;00:38:42;00:38:44
02:37:33;02:38:19;01:20:08;01:20:11;00:38:41;00:38:44
02:37:40;02:37:41;01:20:11;01:20:17;00:38:44;00:38:47
02:37:46;02:38:10;01:20:11;01:20:51;00:38:44;00:38:47
02:37:46;02:38:10;01:20:12;01:20:14;00:38:45;00:38:48
02:37:53;02:38:09;01:20:15;01:20:20;00:38:46;00:38:49
02:38:03;02:38:27;01:20:17;01:20:19;00:38:46;00:38:49
02:38:03;02:38:27;01:20:17;01:20:21;00:38:52;00:38:55
