mara-netto;mara-brutto;half-netto;half-brutto;tenkm-netto;tenkm-brutto;fivekm-netto;fivekm-brutto;twofive-netto;twofive-brutto
02:13:30;02:13:30.174000;01:01:42;01:01:42.112000;00:29:19;00:29:19.107000;00:15:05;00:15:05.117000;00:10:24;00:10:24.190000
02:20:09;02:20:09.349000;01:03:25;01:03:25.224000;00:29:26;00:29:26.214000;00:15:15;00:15:15.234000;00:10:26;00:10:26.380000
02:25:32;02:25:32.523000;01:06:05;01:06:05.335000;00:29:27;00:29:27.321000;00:15:24;00:15:24.351000;00:11:59;00:11:59.569000
02:35:57;02:35:57.697000;01:07:59;01:07:59.447000;00:29:30;00:29:30.428000;00:15:42;00:15:42.467000;00:12:08;00:12:08.759000
02:41:34;02:41:34.872000;01:08:11;01:08:11.559000;00:29:30;00:29:30.535000;00:15:43;00:15:43.584000;00:13:38;00:13:38.949000
02:46:29;02:46:30.046000;01:08:29;01:08:29.671000;00:30:28;00:30:28.642000;00:16:01;00:16:01.701000;00:13:40;00:13:41.139000
03:04:36;03:04:37.220000;01:08:36;01:08:36.783000;00:30:57;00:30:57.749000;00:16:10;00:16:10.818000;00:13:44;00:13:45.328000
03:07:04;03:07:05.394000;01:08:45;01:08:45.894000;00:31:10;00:31:10.856000;00:17:12;00:17:12.935000;00:14:02;00:14:03.518000
03:16:54;03:16:55.569000;01:09:01;01:09:02.006000;00:31:13;00:31:13.963000;00:17:19;00:17:20.052000;00:14:04;00:14:05.708000
03:33:26;03:33:27.743000;01:09:09;01:09:10.118000;00:31:19;00:31:20.070000;00:17:23;00:17:24.168000;00:14:14;00:14:15.898000
03:49:58;03:49:59.917000;01:12:33;01:12:34.230000;00:31:26;00:31:27.177000;00:17:24;00:17:25.285000;00:14:23;00:14:25.087000
03:51:23;03:51:25.092000;01:13:02;01:13:03.342000;00:31:39;00:31:40.284000;00:17:31;00:17:32.402000;00:15:20;00:15:22.277000
02:23:44;02:23:46.266000;01:16:33;01:16:34.453000;00:32:12;00:32:13.391000;00:18:09;00:18:10.519000;00:15:54;00:15:56.467000
02:26:36;02:26:38.440000;01:35:16;01:35:17.565000;00:32:13;00:32:14.498000;00:14:13;00:14:14.636000;00:15:58;00:16:00.657000
02:37:40;02:37:42.615000;01:22:04;01:22:05.677000;00:32:19;00:32:20.605000;00:16:03;00:16:04.753000;00:17:55;00:17:57.846000
02:41:11;02:41:13.789000;01:17:13;01:17:14.789000;00:32:47;00:32:48.712000;00:16:10;00:16:11.869000;00:18:06;00:18:09.036000
02:44:35;02:44:37.963000;01:17:40;01:17:41.901000;00:32:56;00:32:57.819000;00:17:44;00:17:45.986000;00:18:35;00:18:38.226000
02:45:47;02:45:50.138000;01:06:28;01:06:30.012000;00:32:56;00:32:57.926000;00:18:29;00:18:31.103000;00:18:44;00:18:47.416000
02:48:57;02:49:00.312000;01:06:33;01:06:35.124000;00:32:59;00:33:01.033000;00:18:30;00:18:32.220000;00:19:40;00:19:43.605000
02:55:50;02:55:53.486000;01:06:54;01:06:56.236000;00:32:59;00:33:01.140000;00:17:12;00:17:14.337000;00:21:06;00:21:09.795000
03:04:27;03:04:30.660000;01:15:47;01:15:49.348000;00:33:38;00:33:40.247000;00:17:40;00:17:42.454000;00:21:07;00:21:10.985000
03:09:22;03:09:25.835000;01:24:28;01:24:30.460000;00:33:40;00:33:42.354000;00:18:07;00:18:09.571000;00:23:08;00:23:12.175000
03:10:11;03:10:15.009000;01:02:23;01:02:25.571000;00:33:48;00:33:50.461000;00:18:11;00:18:13.687000;00:24:19;00:24:23.365000
03:17:04;03:17:08.183000;01:42:57;01:42:59.683000;00:33:51;00:33:53.568000;00:16:39;00:16:41.804000;00:14:36;00:14:40.554000
03:23:54;03:23:58.358000;01:11:35;01:11:37.795000;00:34:01;00:34:03.675000;00:16:47;00:16:49.921000;00:14:40;00:14:44.744000
03:29:33;03:29:37.532000;01:02:31;01:02:33.907000;00:34:02;00:34:04.782000;00:17:27;00:17:30.038000;00:09:27;00:09:31.934000
03:40:20;03:40:24.706000;01:30:07;01:30:10.019000;00:34:09;00:34:11.889000;00:17:38;00:17:41.155000;00:11:49;00:11:54.124000
03:41:50;03:41:54.881000;01:18:45;01:18:48.130000;00:34:21;00:34:23.996000;00:17:48;00:17:51.272000;00:13:39;00:13:44.313000
03:47:45;03:47:50.055000;01:27:56;01:27:59.242000;00:34:24;00:34:27.103000;00:18:29;00:18:32.388000;00:14:26;00:14:31.503000
03:57:30;03:57:35.229000;01:15:07;01:15:10.354000;00:34:25;00:34:28.210000;00:16:45;00:16:48.505000;00:17:25;00:17:30.693000
03:59:30;03:59:35.404000;01:25:23;01:25:26.466000;00:34:31;00:34:34.317000;00:17:25;00:17:28.622000;00:19:30;00:19:35.883000
04:13:29;04:13:34.578000;01:25:57;01:26:00.578000;00:34:32;00:34:35.424000;00:17:38;00:17:41.739000;00:13:47;00:13:53.072000
04:31:51;04:31:56.752000;01:09:03;01:09:06.689000;00:34:32;00:34:35.531000;00:18:05;00:18:08.856000;00:12:30;00:12:36.262000
04:34:10;04:34:15.926000;01:12:05;01:12:08.801000;00:34:39;00:34:42.638000;00:17:53;00:17:56.973000;00:19:31;00:19:37.452000
05:03:13;05:03:19.101000;01:08:30;01:08:33.913000;00:34:40;00:34:43.745000;00:17:55;00:17:59.089000;00:19:29;00:19:35.642000
05:53:24;05:53:30.275000;01:17:55;01:17:59.025000;00:34:48;00:34:51.852000;00:18:25;00:18:29.206000;00:11:59;00:12:05.831000
02:11:47;02:11:53.449000;01:53:15;01:53:19.137000;00:35:15;00:35:18.959000;00:18:39;00:18:43.323000;00:16:01;00:16:08.021000
02:19:54;02:20:00.624000;01:05:41;01:05:45.248000;00:35:15;00:35:19.066000;00:18:43;00:18:47.440000;00:18:49;00:18:56.211000
02:20:45;02:20:51.798000;01:25:23;01:25:27.360000;00:35:18;00:35:22.173000;00:17:49;00:17:53.557000;00:09:28;00:09:35.401000
02:21:05;02:21:11.972000;01:14:59;01:15:03.472000;00:35:25;00:35:29.280000;00:16:25;00:16:29.674000;00:15:39;00:15:46.590000
02:21:16;02:21:23.147000;01:22:23;01:22:27.584000;00:35:32;00:35:36.387000;00:18:01;00:18:05.790000;00:14:01;00:14:08.780000
02:24:22;02:24:29.321000;01:28:12;01:28:16.696000;00:35:37;00:35:41.493000;00:18:37;00:18:41.907000;00:23:07;00:23:14.970000
02:25:20;02:25:27.495000;01:07:49;01:07:53.807000;00:35:41;00:35:45.600000;00:17:56;00:18:01.024000;00:19:56;00:20:04.160000
02:26:00;02:26:07.670000;01:26:35;01:26:39.919000;00:35:43;00:35:47.707000;00:18:13;00:18:18.141000;00:15:21;00:15:29.350000
02:26:33;02:26:40.844000;02:30:38;02:30:43.031000;00:35:48;00:35:52.814000;00:18:21;00:18:26.258000;00:14:24;00:14:32.539000
02:26:35;02:26:43.018000;01:51:10;01:51:15.143000;00:35:52;00:35:56.921000;00:18:46;00:18:51.375000;00:14:24;00:14:32.729000
02:27:00;02:27:08.192000;01:14:38;01:14:43.255000;00:35:53;00:35:58.028000;00:19:02;00:19:07.492000;00:15:21;00:15:29.919000
02:27:19;02:27:27.367000;01:27:31;01:27:36.366000;00:35:55;00:36:00.135000;00:19:00;00:19:05.608000;00:17:19;00:17:28.109000
02:27:38;02:27:46.541000;01:36:09;01:36:14.478000;00:35:55;00:36:00.242000;00:18:52;00:18:57.725000;00:18:42;00:18:51.298000
02:28:12;02:28:20.715000;01:24:55;01:25:00.590000;00:36:00;00:36:05.349000;00:18:30;00:18:35.842000;00:15:38;00:15:47.488000
02:28:35;02:28:43.890000;01:09:58;01:10:03.702000;00:36:11;00:36:16.456000;00:19:37;00:19:42.959000;00:15:34;00:15:43.678000
02:28:39;02:28:48.064000;01:12:05;01:12:10.814000;00:36:12;00:36:17.563000;00:19:32;00:19:38.076000;00:19:44;00:19:53.868000
02:28:46;02:28:55.238000;01:31:15;01:31:20.925000;00:36:12;00:36:17.670000;00:18:53;00:18:59.193000;00:21:30;00:21:40.057000
02:30:49;02:30:58.413000;01:20:20;01:20:26.037000;00:36:12;00:36:17.777000;00:19:33;00:19:39.309000;00:17:09;00:17:19.247000
02:30:52;02:31:01.587000;01:27:26;01:27:32.149000;00:36:15;00:36:20.884000;00:19:34;00:19:40.426000;00:22:32;00:22:42.437000
02:31:04;02:31:13.761000;01:17:41;01:17:47.261000;00:36:22;00:36:27.991000;00:19:29;00:19:35.543000;00:14:29;00:14:39.627000
02:33:14;02:33:23.936000;01:16:08;01:16:14.372000;00:36:25;00:36:31.098000;00:19:38;00:19:44.660000;00:18:33;00:18:43.816000
02:34:07;02:34:17.110000;01:08:45;01:08:51.484000;00:36:25;00:36:31.205000;00:19:03;00:19:09.777000;00:20:27;00:20:38.006000
02:34:25;02:34:35.284000;01:14:46;01:14:52.596000;00:36:27;00:36:33.312000;00:19:38;00:19:44.894000;00:20:39;00:20:50.196000
02:34:26;02:34:36.458000;01:14:23;01:14:29.708000;00:36:28;00:36:34.419000;00:19:39;00:19:46.010000;00:21:38;00:21:49.386000
02:34:55;02:35:05.633000;01:27:57;01:28:03.820000;00:36:36;00:36:42.526000;00:19:02;00:19:09.127000;00:20:09;00:20:20.575000
02:36:40;02:36:50.807000;01:15:02;01:15:08.931000;00:36:36;00:36:42.633000;00:19:26;00:19:33.244000;00:20:56;00:21:07.765000
02:39:20;02:39:30.981000;01:46:57;01:47:04.043000;00:36:40;00:36:46.740000;00:20:00;00:20:07.361000;00:20:01;00:20:12.955000
02:40:51;02:41:02.156000;01:08:40;01:08:47.155000;00:36:43;00:36:49.847000;00:19:57;00:20:04.478000;00:17:03;00:17:15.145000
